Message Seq:97187 || Client_Id:Client80 || Head_Server_Id:4 || Server_Timestamp:1 || Tail_Timestamp:1
Message Seq:97187 || Client_Id:Client60 || Head_Server_Id:2 || Server_Timestamp:2 || Tail_Timestamp:2
Message Seq:93465 || Client_Id:Client60 || Head_Server_Id:4 || Server_Timestamp:3 || Tail_Timestamp:3
Message Seq:93465 || Client_Id:Client80 || Head_Server_Id:2 || Server_Timestamp:4 || Tail_Timestamp:4
Message Seq:97187 || Client_Id:Client80 || Head_Server_Id:3 || Server_Timestamp:5 || Tail_Timestamp:5
Message Seq:36609 || Client_Id:Client60 || Head_Server_Id:4 || Server_Timestamp:6 || Tail_Timestamp:6
Message Seq:97528 || Client_Id:Client80 || Head_Server_Id:4 || Server_Timestamp:7 || Tail_Timestamp:7
Message Seq:58845 || Client_Id:Client60 || Head_Server_Id:4 || Server_Timestamp:8 || Tail_Timestamp:8
Message Seq:52083 || Client_Id:Client80 || Head_Server_Id:4 || Server_Timestamp:9 || Tail_Timestamp:9
Message Seq:93465 || Client_Id:Client60 || Head_Server_Id:3 || Server_Timestamp:9 || Tail_Timestamp:10
Message Seq:36609 || Client_Id:Client60 || Head_Server_Id:2 || Server_Timestamp:11 || Tail_Timestamp:11
Message Seq:36609 || Client_Id:Client80 || Head_Server_Id:3 || Server_Timestamp:12 || Tail_Timestamp:12
Message Seq:97528 || Client_Id:Client60 || Head_Server_Id:2 || Server_Timestamp:13 || Tail_Timestamp:13
Message Seq:80791 || Client_Id:Client80 || Head_Server_Id:4 || Server_Timestamp:14 || Tail_Timestamp:14
Message Seq:97528 || Client_Id:Client80 || Head_Server_Id:3 || Server_Timestamp:15 || Tail_Timestamp:15
Message Seq:92122 || Client_Id:Client60 || Head_Server_Id:4 || Server_Timestamp:16 || Tail_Timestamp:16
Message Seq:97187 || Client_Id:Client80 || Head_Server_Id:1 || Server_Timestamp:17 || Tail_Timestamp:17
Message Seq:93465 || Client_Id:Client60 || Head_Server_Id:1 || Server_Timestamp:18 || Tail_Timestamp:18
Message Seq:58845 || Client_Id:Client80 || Head_Server_Id:2 || Server_Timestamp:19 || Tail_Timestamp:19
Message Seq:58845 || Client_Id:Client60 || Head_Server_Id:3 || Server_Timestamp:20 || Tail_Timestamp:20
Message Seq:41248 || Client_Id:Client80 || Head_Server_Id:4 || Server_Timestamp:21 || Tail_Timestamp:21
Message Seq:52083 || Client_Id:Client60 || Head_Server_Id:3 || Server_Timestamp:21 || Tail_Timestamp:22
Message Seq:14744 || Client_Id:Client80 || Head_Server_Id:4 || Server_Timestamp:23 || Tail_Timestamp:23
Message Seq:80791 || Client_Id:Client60 || Head_Server_Id:3 || Server_Timestamp:24 || Tail_Timestamp:24
Message Seq:36609 || Client_Id:Client80 || Head_Server_Id:1 || Server_Timestamp:25 || Tail_Timestamp:25
Message Seq:97528 || Client_Id:Client60 || Head_Server_Id:1 || Server_Timestamp:26 || Tail_Timestamp:26
Message Seq:98780 || Client_Id:Client80 || Head_Server_Id:4 || Server_Timestamp:27 || Tail_Timestamp:27
Message Seq:58845 || Client_Id:Client60 || Head_Server_Id:1 || Server_Timestamp:27 || Tail_Timestamp:28
Message Seq:92122 || Client_Id:Client60 || Head_Server_Id:3 || Server_Timestamp:29 || Tail_Timestamp:29
Message Seq:52083 || Client_Id:Client80 || Head_Server_Id:1 || Server_Timestamp:29 || Tail_Timestamp:30
Message Seq:52083 || Client_Id:Client80 || Head_Server_Id:2 || Server_Timestamp:31 || Tail_Timestamp:31
Message Seq:80791 || Client_Id:Client60 || Head_Server_Id:1 || Server_Timestamp:32 || Tail_Timestamp:32
Message Seq:35496 || Client_Id:Client80 || Head_Server_Id:4 || Server_Timestamp:33 || Tail_Timestamp:33
Message Seq:41248 || Client_Id:Client60 || Head_Server_Id:3 || Server_Timestamp:34 || Tail_Timestamp:34
Message Seq:14744 || Client_Id:Client80 || Head_Server_Id:3 || Server_Timestamp:35 || Tail_Timestamp:35
Message Seq:80791 || Client_Id:Client60 || Head_Server_Id:2 || Server_Timestamp:36 || Tail_Timestamp:36
Message Seq:98780 || Client_Id:Client60 || Head_Server_Id:3 || Server_Timestamp:37 || Tail_Timestamp:37
Message Seq:92122 || Client_Id:Client80 || Head_Server_Id:2 || Server_Timestamp:37 || Tail_Timestamp:38
Message Seq:41248 || Client_Id:Client80 || Head_Server_Id:2 || Server_Timestamp:39 || Tail_Timestamp:39
Message Seq:92122 || Client_Id:Client60 || Head_Server_Id:1 || Server_Timestamp:40 || Tail_Timestamp:40
Message Seq:14744 || Client_Id:Client60 || Head_Server_Id:2 || Server_Timestamp:41 || Tail_Timestamp:41
Message Seq:41248 || Client_Id:Client80 || Head_Server_Id:1 || Server_Timestamp:42 || Tail_Timestamp:42
Message Seq:98780 || Client_Id:Client60 || Head_Server_Id:2 || Server_Timestamp:43 || Tail_Timestamp:43
Message Seq:35496 || Client_Id:Client80 || Head_Server_Id:3 || Server_Timestamp:44 || Tail_Timestamp:44
Message Seq:37448 || Client_Id:Client60 || Head_Server_Id:3 || Server_Timestamp:45 || Tail_Timestamp:45
Message Seq:73889 || Client_Id:Client80 || Head_Server_Id:3 || Server_Timestamp:46 || Tail_Timestamp:46
Message Seq:37448 || Client_Id:Client60 || Head_Server_Id:4 || Server_Timestamp:47 || Tail_Timestamp:47
Message Seq:73889 || Client_Id:Client80 || Head_Server_Id:4 || Server_Timestamp:48 || Tail_Timestamp:48
Message Seq:14744 || Client_Id:Client60 || Head_Server_Id:1 || Server_Timestamp:49 || Tail_Timestamp:49
Message Seq:98780 || Client_Id:Client80 || Head_Server_Id:1 || Server_Timestamp:50 || Tail_Timestamp:50
Message Seq:60063 || Client_Id:Client60 || Head_Server_Id:4 || Server_Timestamp:51 || Tail_Timestamp:51
Message Seq:35496 || Client_Id:Client80 || Head_Server_Id:1 || Server_Timestamp:52 || Tail_Timestamp:52
Message Seq:95126 || Client_Id:Client60 || Head_Server_Id:4 || Server_Timestamp:53 || Tail_Timestamp:53
Message Seq:35496 || Client_Id:Client80 || Head_Server_Id:2 || Server_Timestamp:54 || Tail_Timestamp:54
Message Seq:35645 || Client_Id:Client60 || Head_Server_Id:4 || Server_Timestamp:55 || Tail_Timestamp:55
Message Seq:60063 || Client_Id:Client80 || Head_Server_Id:3 || Server_Timestamp:56 || Tail_Timestamp:56
Message Seq:37448 || Client_Id:Client60 || Head_Server_Id:2 || Server_Timestamp:57 || Tail_Timestamp:57
Message Seq:37448 || Client_Id:Client80 || Head_Server_Id:1 || Server_Timestamp:58 || Tail_Timestamp:58
Message Seq:95632 || Client_Id:Client60 || Head_Server_Id:4 || Server_Timestamp:59 || Tail_Timestamp:59
Message Seq:73889 || Client_Id:Client80 || Head_Server_Id:1 || Server_Timestamp:60 || Tail_Timestamp:60
Message Seq:95126 || Client_Id:Client60 || Head_Server_Id:3 || Server_Timestamp:61 || Tail_Timestamp:61
Message Seq:99875 || Client_Id:Client80 || Head_Server_Id:4 || Server_Timestamp:62 || Tail_Timestamp:62
Message Seq:60063 || Client_Id:Client60 || Head_Server_Id:1 || Server_Timestamp:63 || Tail_Timestamp:63
Message Seq:73889 || Client_Id:Client80 || Head_Server_Id:2 || Server_Timestamp:64 || Tail_Timestamp:64
Message Seq:60063 || Client_Id:Client60 || Head_Server_Id:2 || Server_Timestamp:65 || Tail_Timestamp:65
Message Seq:92586 || Client_Id:Client80 || Head_Server_Id:4 || Server_Timestamp:66 || Tail_Timestamp:66
Message Seq:35645 || Client_Id:Client60 || Head_Server_Id:3 || Server_Timestamp:67 || Tail_Timestamp:67
Message Seq:95126 || Client_Id:Client80 || Head_Server_Id:2 || Server_Timestamp:68 || Tail_Timestamp:68
Message Seq:95126 || Client_Id:Client60 || Head_Server_Id:1 || Server_Timestamp:69 || Tail_Timestamp:69
Message Seq:95632 || Client_Id:Client80 || Head_Server_Id:3 || Server_Timestamp:70 || Tail_Timestamp:70
Message Seq:35645 || Client_Id:Client60 || Head_Server_Id:1 || Server_Timestamp:71 || Tail_Timestamp:71
Message Seq:35645 || Client_Id:Client80 || Head_Server_Id:2 || Server_Timestamp:72 || Tail_Timestamp:72
Message Seq:4408 || Client_Id:Client60 || Head_Server_Id:4 || Server_Timestamp:73 || Tail_Timestamp:73
Message Seq:95632 || Client_Id:Client80 || Head_Server_Id:2 || Server_Timestamp:74 || Tail_Timestamp:74
Message Seq:57098 || Client_Id:Client60 || Head_Server_Id:4 || Server_Timestamp:75 || Tail_Timestamp:75
Message Seq:99875 || Client_Id:Client80 || Head_Server_Id:2 || Server_Timestamp:76 || Tail_Timestamp:76
Message Seq:18587 || Client_Id:Client60 || Head_Server_Id:4 || Server_Timestamp:77 || Tail_Timestamp:77
Message Seq:92586 || Client_Id:Client80 || Head_Server_Id:2 || Server_Timestamp:78 || Tail_Timestamp:78
Message Seq:95632 || Client_Id:Client60 || Head_Server_Id:1 || Server_Timestamp:79 || Tail_Timestamp:79
Message Seq:35463 || Client_Id:Client80 || Head_Server_Id:4 || Server_Timestamp:80 || Tail_Timestamp:80
Message Seq:4408 || Client_Id:Client60 || Head_Server_Id:2 || Server_Timestamp:80 || Tail_Timestamp:81
Message Seq:99875 || Client_Id:Client80 || Head_Server_Id:3 || Server_Timestamp:82 || Tail_Timestamp:82
Message Seq:92586 || Client_Id:Client60 || Head_Server_Id:3 || Server_Timestamp:83 || Tail_Timestamp:83
